restaurant,score,city,cuisine,date_visited,date_added,status,notes
Joe Beef,10.0,Montreal,Canadian/Quebecois,,2026-03-26,active,
The Herbfarm,9.9,Woodinville WA,American/PNW,,2026-03-26,active,Both Jonathan and Wan Ting have been; repeat target
Sushi Kashiba,9.9,Seattle,Omakase,,2026-03-26,active,
Shinzo Omakase,9.8,NYC,Omakase,,2026-03-26,active,
Vincent's Pizza Park,9.8,Pittsburgh,Pizza,,2026-03-26,active,
Expendio de Maiz Sin Nombre,9.7,CDMX,Mexican,,2026-03-26,active,
Ugly Duckling,9.7,Victoria BC,,,2026-03-26,active,
Brasserie L'Ecole,9.6,Victoria BC,French,,2026-03-26,active,
Spinasse,9.6,Seattle,Italian,,2026-03-26,active,Joint target with Wan Ting
Le Caviste,9.5,Seattle,French/Wine Bar,,2026-03-26,active,
Ltd Edition Sushi,9.5,Seattle,Omakase,,2026-03-26,active,
Altura,9.4,Seattle,,,2026-03-26,active,
Pujol,9.4,CDMX,Mexican,,2026-03-26,active,
Beast and Cleaver,9.3,Seattle,Butcher,,2026-03-26,active,Butcher shop - grab for home cooking
Mio Oh Mio,9.2,Seattle,,,2026-03-26,active,
Driftwood,9.2,Seattle,,,2026-03-26,active,
COMMUNION,9.1,Seattle,,,2026-03-26,active,
Archipelago,9.1,Seattle,,,2026-03-26,active,
Nonna Dora's,9.0,NYC,Italian,,2026-03-26,active,
Scarr's Pizza,8.9,NYC,Pizza,,2026-03-26,active,
Atoma,8.8,Seattle,,,2026-03-26,active,
Nue,8.6,Seattle,,,2026-03-26,active,Owner Chris is close friend; runs Nue Recommends series
Yi's Korean Beef Soup,8.6,Federal Way WA,Korean,,2026-03-26,active,
Bangrak Market,8.5,Seattle,Thai,,2026-03-26,active,High conviction
Sushi Kappo Tamura,8.4,Seattle,Omakase,,2026-03-26,active,
Copine,8.3,Seattle,,,2026-03-26,active,
Homer,8.3,Seattle,,,2026-03-26,active,
Il Nido,8.2,Seattle,Italian,,2026-03-26,active,
Sushi By Scratch,8.2,Seattle,Omakase,,2026-03-26,active,
Indian Accent,8.1,NYC,Indian,,2026-03-26,active,
Katz's Deli,7.9,NYC,Deli,,2026-03-26,active,Institutional visit - not conviction
Harvest Vine,~7,Seattle,,2026-03,2026-03-26,active,Visited March 2026 - solid and reasonable but not standout. Revisit in ~6 months.
Ramen DANBO,,Seattle,Ramen,2026-04,2026-03-26,active,Visited April 2026 (takeout). Good. Thick noodles recommended.
Theary Cambodian Foods,,Federal Way WA,Khmer,,2026-03-26,active,Visited twice in one week; owner present; Nue Recommends #1
Andalucia Flavors,,Seattle (Ballard),Moroccan,,2026-03-26,active,Opened March 2026; owner/chef came out to talk; Nue Recommends #2
